width	height	edan_id	ids_id
500.0	596.0	nmaahc_2007.1.69.10.19.B	NMAAHC-HCA_10_19_B
499.0	629.0	nmaahc_2007.1.69.10.19.C	NMAAHC-HCA_10_19_C
500.0	403.0	nmaahc_2007.1.69.10.19.D	NMAAHC-HCA_10_19_D
500.0	812.0	nmaahc_2007.1.69.10.19.D.1	NMAAHC-HCA_10_19_D_1
500.0	782.0	nmaahc_2007.1.69.10.19.D.2	NMAAHC-HCA_10_19_D_2
499.0	663.0	nmaahc_2007.1.69.10.2.A	NMAAHC-HCA_10_2_A
500.0	596.0	nmaahc_2007.1.69.10.2.B	NMAAHC-HCA_10_2_B
499.0	629.0	nmaahc_2007.1.69.10.2.C	NMAAHC-HCA_10_2_C
500.0	403.0	nmaahc_2007.1.69.10.2.D	NMAAHC-HCA_10_2_D
500.0	808.0	nmaahc_2007.1.69.10.2.D.1	NMAAHC-HCA_10_2_D_1
500.0	780.0	nmaahc_2007.1.69.10.2.D.2	NMAAHC-HCA_10_2_D_2
500.0	377.0	nmaahc_2007.1.69.10.20.A	NMAAHC-HCA_10_20_A
500.0	789.0	nmaahc_2007.1.69.10.20.A.1	NMAAHC-HCA_10_20_A_1
500.0	775.0	nmaahc_2007.1.69.10.20.A.2	NMAAHC-HCA_10_20_A_2
500.0	397.0	nmaahc_2007.1.69.10.20.C	NMAAHC-HCA_10_20_C
499.0	619.0	nmaahc_2007.1.69.10.20.D	NMAAHC-HCA_10_20_D
500.0	596.0	nmaahc_2007.1.69.10.21.B	NMAAHC-HCA_10_21_B
500.0	397.0	nmaahc_2007.1.69.10.21.C	NMAAHC-HCA_10_21_C
499.0	809.0	nmaahc_2007.1.69.10.21.C.1	NMAAHC-HCA_10_21_C_1
499.0	785.0	nmaahc_2007.1.69.10.21.C.2	NMAAHC-HCA_10_21_C_2
500.0	403.0	nmaahc_2007.1.69.10.21.D	NMAAHC-HCA_10_21_D
500.0	805.0	nmaahc_2007.1.69.10.21.D.1	NMAAHC-HCA_10_21_D_1
500.0	781.0	nmaahc_2007.1.69.10.21.D.2	NMAAHC-HCA_10_21_D_2
500.0	377.0	nmaahc_2007.1.69.10.22.A	NMAAHC-HCA_10_22_A
500.0	800.0	nmaahc_2007.1.69.10.22.A.1	NMAAHC-HCA_10_22_A_1
500.0	791.0	nmaahc_2007.1.69.10.22.A.2	NMAAHC-HCA_10_22_A_2
500.0	397.0	nmaahc_2007.1.69.10.22.C	NMAAHC-HCA_10_22_C
500.0	403.0	nmaahc_2007.1.69.10.22.D	NMAAHC-HCA_10_22_D
499.0	787.0	nmaahc_2007.1.69.10.22.D.1	NMAAHC-HCA_10_22_D_1
500.0	377.0	nmaahc_2007.1.69.10.23.A	NMAAHC-HCA_10_23_A
500.0	795.0	nmaahc_2007.1.69.10.23.A.1	NMAAHC-HCA_10_23_A_1
500.0	787.0	nmaahc_2007.1.69.10.23.A.2	NMAAHC-HCA_10_23_A_2
500.0	419.0	nmaahc_2007.1.69.10.23.B	NMAAHC-HCA_10_23_B
500.0	800.0	nmaahc_2007.1.69.10.23.B.1	NMAAHC-HCA_10_23_B_1
500.0	776.0	nmaahc_2007.1.69.10.23.B.2	NMAAHC-HCA_10_23_B_2
499.0	629.0	nmaahc_2007.1.69.10.23.C	NMAAHC-HCA_10_23_C
499.0	619.0	nmaahc_2007.1.69.10.23.D	NMAAHC-HCA_10_23_D
499.0	663.0	nmaahc_2007.1.69.10.24.A	NMAAHC-HCA_10_24_A
500.0	419.0	nmaahc_2007.1.69.10.24.B	NMAAHC-HCA_10_24_B
500.0	800.0	nmaahc_2007.1.69.10.24.B.1	NMAAHC-HCA_10_24_B_1
500.0	841.0	nmaahc_2007.1.69.10.24.B.2	NMAAHC-HCA_10_24_B_2
500.0	397.0	nmaahc_2007.1.69.10.24.C	NMAAHC-HCA_10_24_C
500.0	818.0	nmaahc_2007.1.69.10.24.C.1	NMAAHC-HCA_10_24_C_1
500.0	779.0	nmaahc_2007.1.69.10.24.C.2	NMAAHC-HCA_10_24_C_2
499.0	619.0	nmaahc_2007.1.69.10.24.D	NMAAHC-HCA_10_24_D
499.0	663.0	nmaahc_2007.1.69.10.25.A	NMAAHC-HCA_10_25_A
500.0	596.0	nmaahc_2007.1.69.10.25.B	NMAAHC-HCA_10_25_B
499.0	629.0	nmaahc_2007.1.69.10.25.C	NMAAHC-HCA_10_25_C
499.0	619.0	nmaahc_2007.1.69.10.25.D	NMAAHC-HCA_10_25_D
500.0	377.0	nmaahc_2007.1.69.10.26.A	NMAAHC-HCA_10_26_A
499.0	789.0	nmaahc_2007.1.69.10.26.A.2	NMAAHC-HCA_10_26_A_2
500.0	419.0	nmaahc_2007.1.69.10.26.B	NMAAHC-HCA_10_26_B
500.0	809.0	nmaahc_2007.1.69.10.26.B.1	NMAAHC-HCA_10_26_B_1
500.0	890.0	nmaahc_2007.1.69.10.26.B.2	NMAAHC-HCA_10_26_B_2
500.0	397.0	nmaahc_2007.1.69.10.26.C	NMAAHC-HCA_10_26_C
500.0	809.0	nmaahc_2007.1.69.10.26.C.1	NMAAHC-HCA_10_26_C_1
500.0	794.0	nmaahc_2007.1.69.10.26.C.2	NMAAHC-HCA_10_26_C_2
500.0	403.0	nmaahc_2007.1.69.10.26.D	NMAAHC-HCA_10_26_D
499.0	787.0	nmaahc_2007.1.69.10.26.D.2	NMAAHC-HCA_10_26_D_2
500.0	377.0	nmaahc_2007.1.69.10.27.A	NMAAHC-HCA_10_27_A
500.0	799.0	nmaahc_2007.1.69.10.27.A.1	NMAAHC-HCA_10_27_A_1
500.0	814.0	nmaahc_2007.1.69.10.27.A.2	NMAAHC-HCA_10_27_A_2
500.0	419.0	nmaahc_2007.1.69.10.27.B	NMAAHC-HCA_10_27_B
500.0	802.0	nmaahc_2007.1.69.10.27.B.1	NMAAHC-HCA_10_27_B_1
500.0	790.0	nmaahc_2007.1.69.10.27.B.2	NMAAHC-HCA_10_27_B_2
499.0	629.0	nmaahc_2007.1.69.10.27.C	NMAAHC-HCA_10_27_C
499.0	619.0	nmaahc_2007.1.69.10.27.D	NMAAHC-HCA_10_27_D
500.0	377.0	nmaahc_2007.1.69.10.28.A	NMAAHC-HCA_10_28_A
500.0	793.0	nmaahc_2007.1.69.10.28.A.1	NMAAHC-HCA_10_28_A_1
500.0	773.0	nmaahc_2007.1.69.10.28.A.2	NMAAHC-HCA_10_28_A_2
500.0	419.0	nmaahc_2007.1.69.10.28.B	NMAAHC-HCA_10_28_B
500.0	806.0	nmaahc_2007.1.69.10.28.B.1	NMAAHC-HCA_10_28_B_1
500.0	883.0	nmaahc_2007.1.69.10.28.B.2	NMAAHC-HCA_10_28_B_2
500.0	397.0	nmaahc_2007.1.69.10.28.C	NMAAHC-HCA_10_28_C
499.0	819.0	nmaahc_2007.1.69.10.28.C.1	NMAAHC-HCA_10_28_C_1
500.0	786.0	nmaahc_2007.1.69.10.28.C.2	NMAAHC-HCA_10_28_C_2
500.0	403.0	nmaahc_2007.1.69.10.28.D	NMAAHC-HCA_10_28_D
